id,name,lat,lon,satellite_view mapbox,dominant_orchidee_pft,orchidee_frac,dominant_generic_pft,generic_pft_frac,confidence_flag,quality_flag_obs_model,soil_type,remarques,sources,dataset,year_fluxnet2007,year_fluxnet2015,year_plumber2,year_sifmip2,year_warmwinter2020,igbp (from orchidas site list),years_amf_base,,,years_amf_fluxnet
AU-TTE,Ti Tree East,-22.287000,133.640000,N/A,PFT01,"PFT1(0.4), PFT3(0.3), PFT11(0.3)",BS,"BS(0.40), NatGrC4(0.30), TrBrDe(0.30)",B,,N/A,"grassy mulga woodland and Corymbia/Triodia savanna. The woodland is characterised by a mulga (Acacia aneura) canopy /Deserts and xeric shrublands / IBRA: BRT / Pine Hill cattle station. Cattle grazing ceased between 2009 – 2013 but was re-introduced in in July 2014 and
stocked continuously in low-to-moderate densities (~3000 head of cattle on ca. 700 km2 ).",https://ozflux.org.au/monitoringsites/titreeeast/titreeeast_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2012-2013,2013-2017,N/A,N/A,GRA,,,,
AU-Tum,Tumbarumba,-35.656600,148.151700,N/A,PFT05,"PFT5(0.80), PFT10(0.20)",TrBrEv,"TrBrEv(0.80), NatGrC3(0.20)",A,A3,N/A,"wet sclerophyll, the dominant species is alpine ash (Eucalyptus delegatensis), / Temperate broadleaf and mixed forest / IBRA: NSS / 2003 insect attack, 2004 selective logging in footprint.",https://ozflux.org.au/monitoringsites/tumbarumba/tumba_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux https://fluxnet.org/sites/siteinfo/AU-Tum,"fluxnet2007, fluxnet2015",2001-2006,2001-2014,2002-2017,N/A,N/A,EBF,,,,
AU-Wac,Wallaby Creek,-37.425900,145.187800,N/A,PFT05,"PFT5(0.9), PFT10(0.10)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.10)",A,B4,N/A,Eucalyptus Regnans or Mountain Ash / Temperate broadleaf and mixed forest / IBRA: SHE / Old growth forest burned by stand replacing fire in Feb 2009 and now regrowing forest.,https://ozflux.org.au/monitoringsites/wallabycreek/wallabyck_description.html & https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,"fluxnet2007, fluxnet2015",2005-2007,2005-2008,N/A,N/A,N/A,EBF,,,,
AU-Whr,Whroo,-36.673200,145.029400,N/A,PFT05,"PFT5(0.9), PFT10(0.10)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.10)",A,B3,N/A,"box woodland. The vegetation is dominated by two main Eucalypt species: Eucalyptus microcarpa (Grey Box) and Eucalyptus leucoxylon (Yellow Gum). Smaller numbers of Eucalyptus sideroxylon (Ironbark) and Acacia pycnantha (Golden Wattle) / Temperate woodlands / IBRA: VIM / Clearing in the broader area during the 19th century to supply timber for gold mining. It is also thought that
there was selective logging in the area during much of the 20th century. Some of this is most likely relatively
recent, with numerous tree stumps present at the site.",https://ozflux.org.au/monitoringsites/whroo/whroo_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2011-2014,2015-2016,N/A,N/A,EBF,,,,
AU-Wom,Wombat,-37.422200,144.094400,N/A,PFT05,"PFT5(0.90), PFT10(0.10)",TrBrEv,"TrBrEv(0.90), NatGrC3(0.10)",A,A3,N/A,"Eucalyptus obliqua (messmate stringybark), Eucalyptus radiata (narrow leaf peppermint) and Eucalyptus rubida (candlebark) /Temperate broadleaf forest / IBRA: VIM / Site is a ～25 years old secondary regrowth forest with a tree height of 21–25 m. Forest management includes
rotational prescribed burns of understorey vegetation and shelter wood harvesting",https://ozflux.org.au/monitoringsites/wombat/wombat_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2010-2012,N/A,N/A,N/A,EBF,,,,
AU-Ync,Jaxa,-34.989300,146.290700,N/A,PFT10,"PFT10(0.85),PFT11(0.15)",NatGrC3,"NatGrC3(0.85), NatGrC4(0.15)",A,C3,N/A,Temperate grasslands / IBRA: RIV / Ongoing cattle and sheep grazing,https://ozflux.org.au/monitoringsites/yanco/yanco_description.html https://www.researchgate.net/publication/309558727_An_introduction_to_the_Australian_and_New_Zealand_flux_tower_network_-_OzFlux,fluxnet2015,N/A,2012-2014,2011-2017,N/A,N/A,GRA,,,,
BE-Bra,Brasschaat,51.307600,4.519800,N/A,PFT04,"PFT4(0.80), PFT6(0.10), PFT10(0.10)",TrNeEv,"TrNeEv(0.80), NatGrC3(0.10), TrBrDe(0.10)",A,B2,N/A,"frac_300 arrondie / target area is dominated by Scots
pine (Pinus sylvestris L.) contributing on average 82% of basal area in the SPs and 90% in the CPs.
Other species present in most plots and contributing to the total basal area are silver birch (Betula
pendula Roth), common oak (Quercus robur L.), mountain ash (Sorbus aucuparia L.) and alder
buckthorn (Frangula alnus Mill.) / even-aged Scots pine stand (Pinus sylvestris L.) situated within a 150 ha mixed coniferous/deciduous forest dominated by Scots pine. The forest surrounding the site consists of several broadleaf species, some native, such as Betula pendula Roth., Sorbus aucuparia L., Quercus robur L. and some – for this region – alien species such as Quercus rubra L. and Castanea sativa Mill. ",https://meta.icos-cp.eu/resources/stations/ES_BE-Bra & https://fluxnhttps://meta.icos-cp.eu/resources/stations/ES_BE-Bra et.org/sites/siteinfo/BE-Bra,"fluxnet2007, fluxnet2015, warmwinter2020",1997-2006,1996-2014,2004-2014,N/A,1996-2019,MF,,,,
BE-Dor,Dorine,50.311900,4.968000,N/A,PFT10,PFT10(1.00),NatGrC3,NatGrC3(1.00),A,B3,N/A,N/A,https://meta.icos-cp.eu/resources/stations/ES_BE-Dor,warmwinter2020,N/A,N/A,N/A,N/A,2011-2020,N/A,,,,
BE-Jal,Jalhay,50.563900,6.073300,N/A,PFT04,"PFT4(0.55), PFT6(0.35), PFT10(0.1)",TrNeEv,"TrNeEv(0.55), TrBrDe(0.35), NatGrC3(0.10)",B,A1,N/A,"Young mixed forest (originally / before clearcut and afforestation, spruce forest)",https://www.icos-belgium.be/files/ICOS_COnsortium-day_2016_Jalhay.pdf,fluxnet2007,2006-2006,N/A,N/A,N/A,N/A,MF,,,,
BE-Lcr,Lochistri,51.112200,3.850400,N/A,PFT06,"PFT6(0.50), PFT12(0.50)",TrBrDe(0.50),"TrBrDe(0.50), CropsC3(0.50)",N/A,,N/A,taillis de peupliers / infos site - à eviter (mixte),https://meta.icos-cp.eu/resources/stations/ES_BE-Lcr,warmwinter2020,N/A,N/A,N/A,N/A,2019-2019,N/A,,,,
